读音,对应的汉字
す,"数, 須, 寿, 子, 主, 洲, 窓, 蘇, 州, 西, 諏, 素, 守"
ず,"頭, 豆, 図, 手, 事"
せ,"世, 施"
そ,"阻, 狙, 組, 措, 祖, 疎, 庄, 粗, 蘇, 礎, 曽, 訴, 素, 想"
た,"太, 他, 多, 駄"
だ,"蛇, 那, 打, 達, 妥, 駄"
ち,"智, 痴, 徴, 値, 遅, 恥, 致, 池, 丁, 置, 知, 治, 質, 地, 稚"
つ,"都, 子, 通"
て,稲
と,"都, 徒, 登, 塗, 頭, 賭, 斗, 吐, 途, 度, 渡, 図, 土"
ど,"怒, 奴, 土, 努, 度"
な,"南, 那, 奈, 納"
に,"児, 尼, 泥, 仁, 二"
の,乃
は,"波, 覇, 破, 琶, 派, 把"
ば,馬
ひ,"披, 彼, 碑, 秘, 悲, 飛, 妃, 疲, 肥, 費, 非, 被, 批, 琵, 皮, 比, 扉, 否, 避"
び,"備, 尾, 鼻, 美, 弥, 未, 微, 琵, 梶"
ふ,"譜, 冨, 歩, 怖, 負, 府, 阜, 風, 夫, 不, 父, 普, 浮, 釜, 布, 符, 赴, 輔, 扶, 蒲, 敷, 付, 腐, 膚, 富, 婦"
ぶ,"不, 奉, 豊, 分, 舞, 歩, 武, 部, 霧, 夫, 無, 蒲"
ほ,"歩, 怖, 保, 反, 舗, 捕, 布, 輔, 補, 蒲, 浦"
ぼ,"暮, 募, 蒲, 模, 母, 墓, 簿"
ま,"摩, 磨, 魔, 麻"
み,"魅, 美, 弥, 未, 味"
む,"務, 謀, 夢, 武, 霧, 矛, 無"
も,"茂, 模"
や,"夜, 蛇, 也, 野"
ゆ,"愉, 猶, 諭, 油, 癒, 輸, 遊, 由"
よ,"誉, 預, 予, 余, 与"
ら,"羅, 蘭, 裸"
り,"里, 理, 栗, 利, 履, 裏, 梨, 離, 李"
ろ,"路, 露, 虜, 炉, 盧, 芦"
わ,"話, 和, 窪, 把, 琶"
あい,"愛, 乃, 哀"
あく,"悪, 握"
あつ,圧
あん,"行, 安, 闇, 案, 暗"
いき,域
いく,"郁, 育"
いち,一
いつ,"一, 乙, 逸"
いん,"隠, 院, 姻, 員, 寅, 音, 陰, 因, 印, 飲, 引"
うん,"芸, 運, 雲"
えい,"英, 栄, 影, 泳, 映, 衛, 詠, 営, 鋭, 永"
えき,"疫, 益, 液, 役, 易, 駅"
えつ,"閲, 悦, 越"
えん,"鉛, 塩, 円, 煙, 縁, 炎, 延, 垣, 沿, 圧, 遠, 宴, 堰, 淵, 園, 援, 猿, 俺, 媛, 演, 渕"
おう,"鷹, 圧, 応, 王, 皇, 奥, 欧, 横, 押, 鴨, 殴, 桜, 往, 央, 区, 黄"
おく,"憶, 屋, 億"
おつ,"乙, 越"
おん,"隠, 遠, 穏, 温, 闇, 音, 飲, 恩"
かい,"快, 絵, 画, 届, 塊, 戒, 介, 懐, 壊, 回, 悔, 改, 灰, 皆, 会, 芥, 海, 階, 開, 掛, 解, 刈, 拐, 界, 堺, 怪, 街, 械"
かく,"覚, 閣, 核, 拡, 画, 獲, 郭, 鶴, 客, 角, 各, 確, 殻, 淵, 較, 脚, 穫, 革, 格, 隔, 渕"
かち,葛
かつ,"滑, 活, 括, 渇, 轄, 割, 葛, 喝"
かん,"幹, 敢, 菅, 喚, 陥, 観, 款, 冠, 艦, 鑑, 感, 監, 歓, 完, 肝, 干, 館, 閑, 貫, 寒, 堪, 漢, 環, 関, 勘, 乾, 汗, 慣, 亘, 甲, 巻, 缶, 韓, 還, 官, 寛, 憾, 間, 簡, 勧, 甘, 換, 患, 函, 刊, 緩, 看, 管"
がい,"外, 崔, 害, 涯, 該, 慨, 街, 概, 刈"
がく,"額, 岳, 学, 楽"
がつ,月
がん,"眼, 含, 頑, 岩, 岸, 巌, 丸, 願, 元, 顔"
きく,"麹, 菊"
きち,"詰, 吉"
きつ,"詰, 喫, 吉"
きゃく,"脚, 格, 客, 却"
きゅう,"球, 糾, 弓, 吸, 求, 泣, 及, 丘, 旧, 朽, 久, 扱, 急, 鳩, 窮, 給, 亀, 九, 休, 救, 究, 宮, 級"
きょ,"拠, 虚, 距, 拒, 居, 去, 挙, 許, 巨, 据"
きょう,"挟, 京, 強, 協, 教, 喬, 兄, 脇, 驚, 狂, 競, 恭, 境, 経, 橋, 供, 峡, 叫, 孝, 暁, 胸, 興, 校, 恐, 狭, 趙, 窮, 郷, 亨, 凶, 続, 香, 況, 共, 軽, 享, 脅, 響, 敬, 鏡, 姜"
きょく,"曲, 局, 極, 旭"
きん,"緊, 金, 錦, 勤, 均, 近, 京, 亀, 軽, 筋, 今, 琴, 訓, 禁, 経, 菌"
ぎゃく,"逆, 虐"
ぎょう,"行, 凝, 暁, 業, 仰, 形"
ぎん,"銀, 吟"
くつ,"屈, 掘, 堀"
くん,"薫, 訓, 君, 勲"
ぐう,"隅, 偶, 遇, 宮"
ぐん,"群, 軍, 郡"
けい,"契, 京, 鶏, 携, 兄, 慶, 傾, 計, 圭, 競, 境, 系, 形, 経, 桂, 径, 係, 掛, 刑, 啓, 掲, 恵, 警, 鏡, 軽, 継, 敬, 型, 憩, 景"
けつ,"潔, 結, 血, 穴, 傑, 決, 欠"
けん,"鎌, 嫌, 菅, 拳, 憲, 軒, 堅, 剣, 券, 遣, 検, 験, 建, 乾, 謙, 懸, 巻, 権, 肩, 顕, 犬, 欠, 献, 見, 健, 賢, 間, 絹, 簡, 勧, 研, 圏, 険, 兼, 件, 県"
げい,"児, 迎, 芸, 鯨"
げき,"逆, 撃, 劇, 激"
げん,"眼, 言, 減, 源, 嫌, 彦, 厳, 拳, 限, 原, 玄, 弦, 現, 験, 元, 幻"
こう,"降, 候, 弘, 区, 抗, 考, 厚, 亘, 項, 校, 綱, 紘, 高, 幌, 亨, 洪, 向, 享, 絞, 交, 鉱, 貢, 岬, 恒, 江, 功, 酵, 康, 郊, 淵, 光, 較, 効, 興, 購, 黄, 皇, 攻, 控, 衡, 行, 拡, 宏, 仰, 航, 広, 港, 構, 稿, 尻, 岡, 荒, 峡, 后, 溝, 後, 鋼, 慌, 硬, 狭, 香, 晃, 耕, 肯, 浩, 更, 渕, 工, 幸, 好, 確, 拘, 孝, 甲, 講, 口, 格, 紅, 公, 巧, 続"
こく,"告, 殻, 谷, 可, 克, 穀, 石, 黒, 酷, 国, 刻"
こん,"昆, 婚, 紺, 懇, 金, 近, 恨, 困, 献, 根, 魂, 痕, 今, 建, 混"
ごう,"業, 剛, 郷, 強, 号, 格, 豪, 楽, 合"
ごく,"獄, 極"
さい,"最, 宰, 債, 崔, 再, 柴, 細, 斎, 祭, 際, 切, 済, 彩, 斉, 栽, 載, 砕, 殺, 才, 裁, 歳, 菜, 採, 西, 財, 妻, 災, 催"
さく,"策, 昨, 数, 雀, 錯, 酢, 作, 冊, 索, 捉, 削"
さち,薩
さつ,"刷, 擦, 撮, 札, 殺, 冊, 薩, 察"
さん,"産, 酸, 傘, 残, 参, 賛, 尽, 散, 惨, 操, 山, 三, 算, 杉"
ざい,"剤, 罪, 財, 材, 在"
ざつ,雑
ざん,"残, 暫, 惨"
しき,"式, 識, 織, 色"
しち,"七, 質"
しつ,"湿, 失, 疾, 執, 質, 漆, 実, 室"
しゃ,"砂, 予, 煮, 者, 車, 赦, 沙, 捨, 社, 写, 斜, 左, 卸, 謝, 舎, 遮, 射"
しゃく,"赤, 昔, 雀, 錯, 石, 借, 釈, 折, 尺"
しゅ,"最, 数, 須, 朱, 掃, 捜, 株, 狩, 酬, 主, 珠, 輸, 枢, 趣, 種, 手, 衆, 取, 修, 酒, 殊, 諏, 首, 守"
しゅう,"就, 鷲, 寿, 週, 周, 湿, 集, 捜, 執, 酬, 主, 拾, 洲, 渋, 舟, 秀, 袖, 収, 萩, 終, 臭, 祝, 衆, 修, 州, 宗, 襲, 習, 秋"
しゅく,"淑, 粛, 縮, 叔, 祝, 宿"
しゅつ,"卒, 率, 出"
しゅん,"春, 旬, 淳, 俊, 瞬, 峻, 駿"
しょ,"処, 初, 所, 緒, 狙, 暑, 書, 庶, 諸, 署, 野, 疎, 曙"
しょう,"承, 星, 挟, 松, 紹, 創, 招, 青, 匠, 勝, 肖, 生, 精, 晶, 姓, 哨, 証, 礁, 聖, 翔, 障, 乗, 昌, 祥, 詳, 粧, 咲, 傷, 将, 沼, 従, 召, 象, 商, 篠, 装, 上, 彰, 少, 訟, 清, 償, 衝, 接, 鐘, 性, 昇, 井, 賞, 章, 症, 登, 昭, 請, 尚, 唱, 省, 称, 様, 床, 声, 掌, 照, 相, 正, 湘, 渉, 消, 荘, 摂, 庄, 焦, 笑, 奨, 焼, 小, 政"
しょく,"職, 続, 食, 嘱, 触, 飾, 属, 植, 織, 色, 殖"
しん,"侵, 槙, 寝, 真, 震, 請, 森, 唇, 新, 紳, 娠, 申, 審, 進, 信, 深, 診, 親, 秦, 参, 心, 伸, 神, 清, 津, 慎, 身, 辰, 辛, 晋, 臣, 浸, 針, 振"
じく,軸
じゃ,"写, 邪, 蛇"
じゃく,"弱, 着, 雀, 寂, 若"
じゅ,"樹, 習, 授, 就, 入, 鷲, 寿, 需, 従, 受"
じゅう,"十, 柔, 拾, 汁, 獣, 住, 充, 渋, 縦, 銃, 重, 従"
じゅく,"熟, 塾"
じゅつ,"述, 術"
じゅん,"潤, 旬, 盾, 淳, 循, 准, 準, 巡, 純, 順"
じょ,"女, 序, 如, 除, 徐, 叙, 助"
じょう,"承, 肇, 常, 城, 畳, 浄, 静, 冗, 成, 状, 貞, 壌, 娘, 上, 鄭, 情, 錠, 靖, 剰, 譲, 定, 趙, 縄, 盛, 丈, 蒸, 条, 乗, 場, 醸"
じょく,"濁, 辱"
じん,"迅, 沈, 人, 臣, 稔, 尽, 刃, 甚, 陣, 神, 腎, 辰, 妊, 仁, 尋"
すい,"剤, 塁, 炊, 椎, 推, 穂, 酔, 崔, 睡, 衰, 出, 吹, 粋, 水, 瑞, 垂, 誰, 遂"
すう,"枢, 数, 崇"
すん,"駿, 寸"
ずい,"髄, 瑞, 随"
せい,"城, 星, 浄, 制, 静, 成, 製, 勢, 整, 請, 青, 済, 晴, 情, 斉, 世, 誓, 省, 靖, 生, 精, 姓, 征, 清, 歳, 声, 聖, 剤, 西, 誠, 政, 盛, 蒸, 性, 井, 正, 牲"
せき,"責, 昔, 席, 積, 尺, 績, 跡, 惜, 潟, 夕, 釈, 舎, 赤, 籍, 寂, 石, 隻, 析"
せつ,"摂, 設, 接, 拙, 切, 殺, 説, 雪, 節, 折, 窃"
せん,"潜, 鮮, 扇, 仙, 染, 先, 山, 線, 洗, 釧, 占, 専, 船, 旋, 薦, 亘, 繊, 川, 宣, 浅, 泉, 戦, 千, 禅, 遷, 践, 選, 銭"
ぜい,"税, 勢, 説"
ぜつ,"舌, 絶"
ぜん,"善, 前, 禅, 楠, 銭, 然, 全"
そう,"喪, 総, 聡, 曹, 槽, 将, 創, 巣, 掃, 荘, 繰, 庄, 捜, 装, 蔵, 奨, 草, 世, 層, 走, 扱, 窓, 僧, 桑, 早, 倉, 燥, 贈, 奏, 壮, 滝, 挿, 送, 宗, 双, 争, 騒, 箱, 遭, 葬, 操, 曽, 相, 想"
そく,"測, 促, 数, 足, 職, 則, 速, 息, 側, 束, 捉, 即"
そつ,"率, 卒"
そん,"損, 孫, 村, 樽, 存, 尊"
ぞう,"篠, 増, 贈, 蔵, 曹, 雑, 像, 憎, 曽, 三, 造, 臓, 象"
ぞく,"族, 財, 俗, 続, 属"
たい,"袋, 太, 替, 泰, 対, 待, 来, 帯, 敦, 隊, 大, 逮, 貸, 態, 体, 胎, 退, 滞, 台, 怠, 代, 耐"
たく,"託, 卓, 沢, 濯, 択, 度, 拓, 宅"
たつ,達
たん,"丹, 弾, 誕, 灘, 端, 短, 炭, 探, 壇, 反, 堪, 段, 鍛, 嘆, 淡, 単, 担, 胆"
だい,"大, 袋, 内, 乃, 奈, 代, 提, 台, 第, 題, 弟"
だく,"濁, 諾"
だつ,"脱, 奪"
だん,"敦, 弾, 暖, 男, 灘, 団, 談, 壇, 段, 楠, 断"
ちく,"竹, 筑, 蓄, 畜, 築"
ちつ,"秩, 窒"
ちゃ,茶
ちゃく,"着, 著"
ちゅう,"柱, 忠, 虫, 沖, 注, 住, 中, 昼, 宙, 抽, 駐, 仲"
ちょ,"猪, 貯, 著, 緒"
ちょう,"肇, 畳, 潮, 登, 調, 長, 徴, 朝, 兆, 重, 庁, 町, 敦, 超, 鳥, 眺, 張, 跳, 釣, 頂, 丁, 提, 懲, 塚, 趙, 彫, 澄, 条, 腸, 弔, 帳, 挑, 場, 聴"
ちょく,直
ちん,"沈, 鎮, 椿, 賃, 丁, 亭, 珍, 陳"
つい,"追, 椎, 墜, 対"
つう,"痛, 通"
てい,"偵, 庭, 抵, 貞, 逓, 訂, 庁, 弟, 艇, 鄭, 程, 亭, 呈, 体, 堤, 底, 滞, 丁, 提, 定, 第, 邸, 締, 停, 廷, 低, 帝, 聴"
てき,"的, 摘, 敵, 適, 笛, 荻"
てつ,"徹, 撤, 鉄, 迭, 哲"
てん,"天, 展, 典, 添, 淀, 殿, 点, 槙, 転, 店, 伝"
でん,"典, 淀, 殿, 田, 電, 伝"
とう,"肇, 豆, 登, 踏, 党, 答, 島, 闘, 嶋, 統, 頭, 読, 酬, 斗, 陶, 悼, 倒, 投, 糖, 道, 冬, 到, 棟, 稲, 等, 当, 樋, 嶌, 納, 丁, 塔, 湯, 騰, 東, 灯, 桐, 搭, 凍, 藤, 桃, 筒, 刀, 盗, 唐, 透, 逃, 討"
とく,"徳, 読, 得, 特, 独, 督, 篤"
とつ,突
とん,"敦, 屯, 豚, 団"
どう,"脳, 藤, 洞, 動, 堂, 登, 童, 道, 銅, 同, 働, 胴, 導, 桐"
どく,"独, 読, 毒"
どん,"鈍, 曇"
ない,"内, 乃, 奈, 泥"
なん,"南, 男, 軟, 納, 難, 楠"
にく,肉
にち,日
にゅう,"入, 乳, 柔"
にょう,"女, 尿"
にん,"忍, 認, 人, 稔, 刃, 任, 妊, 仁"
ねい,寧
ねつ,熱
ねん,"年, 念, 稔, 粘, 楠, 燃, 然"
のう,"脳, 濃, 能, 納, 悩, 農"
はい,"輩, 俳, 杯, 拝, 敗, 排, 配, 廃, 背, 抜, 肺"
はく,"舶, 柏, 拍, 博, 薄, 泊, 覇, 粕, 伯, 迫, 白"
はち,"八, 鉢"
はつ,"発, 八, 髪, 罰, 伐, 抜, 鉢"
はん,"販, 伴, 犯, 飯, 磐, 般, 判, 翻, 反, 繁, 帆, 阪, 藩, 搬, 板, 坂, 凡, 班, 版, 半, 範, 幡"
ばい,"貝, 枚, 殻, 培, 倍, 買, 梅, 媒, 賠, 陪, 売"
ばく,"博, 麦, 縛, 爆, 幕, 暴, 漠"
ばつ,"末, 罰, 伐, 閥, 抜"
ばん,"万, 晩, 番, 伴, 磐, 盤, 板, 幡, 満, 判"
ひつ,"必, 筆, 匹, 払"
ひゃく,"百, 柏"
ひょう,"兵, 表, 平, 拍, 俵, 評, 漂, 氷, 標, 票"
ひん,"貧, 頻, 品, 賓, 浜"
びょう,"平, 妙, 描, 病, 苗, 猫, 秒"
びん,"貧, 便, 敏, 瓶"
ふう,"阜, 冨, 風, 封, 富, 夫"
ふく,"服, 復, 副, 伏, 福, 幅, 覆, 複, 腹"
ふつ,"仏, 沸, 払"
ふん,"憤, 奮, 紛, 噴, 粉, 分, 墳, 雰"
ぶん,"文, 聞, 分"
へい,"兵, 閉, 平, 並, 塀, 病, 坪, 柄, 幣, 弊, 併, 陛"
へん,"偏, 編, 変, 弁, 辺, 返, 片, 遍"
べつ,別
べん,"面, 便, 勉, 弁"
ほう,"胞, 放, 俸, 訪, 庄, 並, 邦, 芳, 豊, 保, 鵬, 崩, 包, 飽, 泡, 方, 呆, 棚, 砲, 縫, 宝, 封, 抱, 亨, 奉, 峰, 法, 報"
ほん,"本, 奔, 翻, 反, 品, 幡"
ぼう,"肪, 望, 帽, 紡, 傍, 妨, 茅, 棒, 霧, 亡, 房, 夢, 貿, 膨, 暴, 矛, 防, 坊, 忙, 乏, 謀, 忘, 剖, 冒"
ぼく,"睦, 木, 僕, 目, 撲, 牧, 黙, 朴, 墨"
ぼつ,没
ぼん,"犯, 凡, 盆"
まい,"枚, 埋, 米, 毎, 妹"
まく,"膜, 幕"
まつ,末
まん,"万, 漫, 慢, 幡, 満"
みつ,密
みゃく,脈
みょう,"名, 茅, 命, 明, 妙, 苗"
みん,"民, 明, 眠"
めい,"名, 盟, 命, 明, 鳴, 銘, 迷"
めつ,滅
めん,"面, 綿, 免"
もう,"忙, 望, 帽, 猛, 毛, 盲, 網, 亡"
もく,"目, 睦, 黙, 木"
もん,"門, 紋, 聞, 文, 問"
やく,"躍, 疫, 益, 役, 薬, 訳, 約"
ゆう,"勇, 祐, 融, 優, 裕, 悠, 猶, 幽, 熊, 遊, 由, 誘, 有, 右, 雄, 郵, 憂, 又, 油, 友"
よう,"葉, 楊, 養, 陽, 応, 謡, 溶, 曜, 揺, 様, 擁, 鷹, 栄, 羊, 揚, 踊, 妖, 幼, 容, 腰, 用, 要, 洋, 桜"
よく,"抑, 翌, 翼, 浴, 欲"
らい,"雷, 礼, 塁, 頼, 瀬, 来"
らく,"落, 楽, 絡"
らん,"覧, 嵐, 卵, 蘭, 乱, 欄"
りく,"陸, 六"
りつ,"立, 率, 栗, 律"
りゃく,"暦, 略"
りゅう,"笠, 龍, 流, 隆, 劉, 硫, 粒, 竜, 立, 留, 柳"
りょ,"慮, 旅, 虜"
りょう,"寮, 龍, 領, 養, 霊, 郎, 僚, 量, 嶺, 猟, 漁, 療, 陵, 両, 糧, 亮, 良, 菱, 料, 了, 竜, 涼"
りん,"厘, 鈴, 隣, 綾, 臨, 輪, 倫, 林"
るい,"塁, 類, 涙, 累"
れい,"玲, 礼, 冷, 霊, 例, 麗, 励, 零, 嶺, 齢, 戻, 令, 涙, 鈴"
れき,"暦, 歴"
れつ,"裂, 劣, 烈, 列, 律"
れん,"練, 鎌, 蓮, 連, 恋, 聯"
ろう,"龍, 漏, 労, 露, 老, 糧, 竜, 朗, 滝, 廊, 郎, 浪"
ろく,"陸, 鹿, 緑, 録, 六"
ろん,"論, 乱"
わい,賄
わく,惑
わん,"腕, 湾"
